,global_entity_id,orders,threshold,performance_metric,value
268,AP_PA,1,0.3,accuracy,0.66
670,AP_PA,1,0.3,f1_score,0.16
1072,AP_PA,1,0.3,precision_recall_auc,0.48
71,AP_PA,2,0.3,accuracy,0.64
473,AP_PA,2,0.3,f1_score,0.26
875,AP_PA,2,0.3,precision_recall_auc,0.52
174,AP_PA,3,0.3,accuracy,0.65
576,AP_PA,3,0.3,f1_score,0.24
978,AP_PA,3,0.3,precision_recall_auc,0.46
373,AP_PA,4,0.3,accuracy,0.7
775,AP_PA,4,0.3,f1_score,0.34
1177,AP_PA,4,0.3,precision_recall_auc,0.52
269,AP_PA,1,0.5,accuracy,0.66
671,AP_PA,1,0.5,f1_score,0.04
1073,AP_PA,1,0.5,precision_recall_auc,0.51
72,AP_PA,2,0.5,accuracy,0.64
474,AP_PA,2,0.5,f1_score,0.12
876,AP_PA,2,0.5,precision_recall_auc,0.58
175,AP_PA,3,0.5,accuracy,0.66
577,AP_PA,3,0.5,f1_score,0.13
979,AP_PA,3,0.5,precision_recall_auc,0.46
374,AP_PA,4,0.5,accuracy,0.69
776,AP_PA,4,0.5,f1_score,0.11
1178,AP_PA,4,0.5,precision_recall_auc,0.53
262,DJ_CZ,1,0.3,accuracy,0.59
664,DJ_CZ,1,0.3,f1_score,0.03
1066,DJ_CZ,1,0.3,precision_recall_auc,0.36
64,DJ_CZ,2,0.3,accuracy,0.66
466,DJ_CZ,2,0.3,f1_score,0.17
868,DJ_CZ,2,0.3,precision_recall_auc,0.44
167,DJ_CZ,3,0.3,accuracy,0.68
569,DJ_CZ,3,0.3,f1_score,0.27
971,DJ_CZ,3,0.3,precision_recall_auc,0.5
366,DJ_CZ,4,0.3,accuracy,0.7
768,DJ_CZ,4,0.3,f1_score,0.28
1170,DJ_CZ,4,0.3,precision_recall_auc,0.47
263,DJ_CZ,1,0.5,accuracy,0.59
665,DJ_CZ,1,0.5,f1_score,0.0
1067,DJ_CZ,1,0.5,precision_recall_auc,0.2
65,DJ_CZ,2,0.5,accuracy,0.67
467,DJ_CZ,2,0.5,f1_score,0.02
869,DJ_CZ,2,0.5,precision_recall_auc,0.42
168,DJ_CZ,3,0.5,accuracy,0.67
570,DJ_CZ,3,0.5,f1_score,0.05
972,DJ_CZ,3,0.5,precision_recall_auc,0.42
367,DJ_CZ,4,0.5,accuracy,0.7
769,DJ_CZ,4,0.5,f1_score,0.09
1171,DJ_CZ,4,0.5,precision_recall_auc,0.52
274,EF_GR,1,0.5,accuracy,0.53
676,EF_GR,1,0.5,f1_score,0.13
1078,EF_GR,1,0.5,precision_recall_auc,0.54
77,EF_GR,2,0.5,accuracy,0.6
479,EF_GR,2,0.5,f1_score,0.32
881,EF_GR,2,0.5,precision_recall_auc,0.64
182,EF_GR,3,0.5,accuracy,0.62
584,EF_GR,3,0.5,f1_score,0.36
986,EF_GR,3,0.5,precision_recall_auc,0.63
381,EF_GR,4,0.5,accuracy,0.61
783,EF_GR,4,0.5,f1_score,0.4
1185,EF_GR,4,0.5,precision_recall_auc,0.64
275,EF_GR,1,0.7,accuracy,0.53
677,EF_GR,1,0.7,f1_score,0.02
1079,EF_GR,1,0.7,precision_recall_auc,0.66
78,EF_GR,2,0.7,accuracy,0.55
480,EF_GR,2,0.7,f1_score,0.04
882,EF_GR,2,0.7,precision_recall_auc,0.61
183,EF_GR,3,0.7,accuracy,0.57
585,EF_GR,3,0.7,f1_score,0.07
987,EF_GR,3,0.7,precision_recall_auc,0.62
382,EF_GR,4,0.7,accuracy,0.55
784,EF_GR,4,0.7,f1_score,0.06
1186,EF_GR,4,0.7,precision_recall_auc,0.55
258,FO_NO,1,0.3,accuracy,0.71
660,FO_NO,1,0.3,f1_score,0.09
1062,FO_NO,1,0.3,precision_recall_auc,0.35
59,FO_NO,2,0.3,accuracy,0.72
461,FO_NO,2,0.3,f1_score,0.15
863,FO_NO,2,0.3,precision_recall_auc,0.36
162,FO_NO,3,0.3,accuracy,0.74
564,FO_NO,3,0.3,f1_score,0.3
966,FO_NO,3,0.3,precision_recall_auc,0.44
362,FO_NO,4,0.3,accuracy,0.75
764,FO_NO,4,0.3,f1_score,0.37
1166,FO_NO,4,0.3,precision_recall_auc,0.47
259,FO_NO,1,0.5,accuracy,0.72
661,FO_NO,1,0.5,f1_score,0.0
1063,FO_NO,1,0.5,precision_recall_auc,0.14
60,FO_NO,2,0.5,accuracy,0.73
462,FO_NO,2,0.5,f1_score,0.02
864,FO_NO,2,0.5,precision_recall_auc,0.39
163,FO_NO,3,0.5,accuracy,0.75
565,FO_NO,3,0.5,f1_score,0.1
967,FO_NO,3,0.5,precision_recall_auc,0.38
363,FO_NO,4,0.5,accuracy,0.75
765,FO_NO,4,0.5,f1_score,0.07
1167,FO_NO,4,0.5,precision_recall_auc,0.34
226,FP_BD,1,0.3,accuracy,0.62
628,FP_BD,1,0.3,f1_score,0.29
1030,FP_BD,1,0.3,precision_recall_auc,0.4
25,FP_BD,2,0.3,accuracy,0.66
427,FP_BD,2,0.3,f1_score,0.31
829,FP_BD,2,0.3,precision_recall_auc,0.4
127,FP_BD,3,0.3,accuracy,0.69
529,FP_BD,3,0.3,f1_score,0.29
931,FP_BD,3,0.3,precision_recall_auc,0.42
324,FP_BD,4,0.3,accuracy,0.73
726,FP_BD,4,0.3,f1_score,0.38
1128,FP_BD,4,0.3,precision_recall_auc,0.47
227,FP_BD,1,0.5,accuracy,0.7
629,FP_BD,1,0.5,f1_score,0.0
1031,FP_BD,1,0.5,precision_recall_auc,0.15
26,FP_BD,2,0.5,accuracy,0.75
428,FP_BD,2,0.5,f1_score,0.02
830,FP_BD,2,0.5,precision_recall_auc,0.33
128,FP_BD,3,0.5,accuracy,0.72
530,FP_BD,3,0.5,f1_score,0.04
932,FP_BD,3,0.5,precision_recall_auc,0.43
325,FP_BD,4,0.5,accuracy,0.75
727,FP_BD,4,0.5,f1_score,0.07
1129,FP_BD,4,0.5,precision_recall_auc,0.49
4,FP_HK,2,0.3,accuracy,0.37
406,FP_HK,2,0.3,f1_score,0.53
808,FP_HK,2,0.3,precision_recall_auc,0.68
103,FP_HK,3,0.3,accuracy,0.42
505,FP_HK,3,0.3,f1_score,0.47
907,FP_HK,3,0.3,precision_recall_auc,0.6
299,FP_HK,4,0.3,accuracy,0.44
701,FP_HK,4,0.3,f1_score,0.5
1103,FP_HK,4,0.3,precision_recall_auc,0.62
207,FP_HK,1,0.5,accuracy,0.57
609,FP_HK,1,0.5,f1_score,0.12
1011,FP_HK,1,0.5,precision_recall_auc,0.48
5,FP_HK,2,0.5,accuracy,0.62
407,FP_HK,2,0.5,f1_score,0.29
