,global_entity_id,orders,threshold,performance_metric,value
12,AP_PA,1,0.3,accuracy,0.7
311,AP_PA,1,0.3,f1_score,0.02
610,AP_PA,1,0.3,precision_recall_auc,0.29
71,AP_PA,2,0.3,accuracy,0.31
370,AP_PA,2,0.3,f1_score,0.47
669,AP_PA,2,0.3,precision_recall_auc,0.64
230,AP_PA,3,0.3,accuracy,0.82
529,AP_PA,3,0.3,f1_score,0.9
828,AP_PA,3,0.3,precision_recall_auc,0.93
72,AP_PA,2,0.5,accuracy,0.36
371,AP_PA,2,0.5,f1_score,0.19
670,AP_PA,2,0.5,precision_recall_auc,0.62
231,AP_PA,3,0.5,accuracy,0.41
530,AP_PA,3,0.5,f1_score,0.58
829,AP_PA,3,0.5,precision_recall_auc,0.86
148,AP_PA,4,0.5,accuracy,0.44
447,AP_PA,4,0.5,f1_score,0.62
746,AP_PA,4,0.5,precision_recall_auc,0.73
16,DJ_CZ,1,0.3,accuracy,0.7
315,DJ_CZ,1,0.3,f1_score,0.0
614,DJ_CZ,1,0.3,precision_recall_auc,0.25
76,DJ_CZ,2,0.3,accuracy,0.27
375,DJ_CZ,2,0.3,f1_score,0.42
674,DJ_CZ,2,0.3,precision_recall_auc,0.61
235,DJ_CZ,3,0.3,accuracy,0.64
534,DJ_CZ,3,0.3,f1_score,0.78
833,DJ_CZ,3,0.3,precision_recall_auc,0.86
77,DJ_CZ,2,0.5,accuracy,0.35
376,DJ_CZ,2,0.5,f1_score,0.01
675,DJ_CZ,2,0.5,precision_recall_auc,0.57
236,DJ_CZ,3,0.5,accuracy,0.25
535,DJ_CZ,3,0.5,f1_score,0.39
834,DJ_CZ,3,0.5,precision_recall_auc,0.7
153,DJ_CZ,4,0.5,accuracy,0.67
452,DJ_CZ,4,0.5,f1_score,0.8
751,DJ_CZ,4,0.5,precision_recall_auc,0.86
27,EF_GR,1,0.5,accuracy,0.62
326,EF_GR,1,0.5,f1_score,0.0
625,EF_GR,1,0.5,precision_recall_auc,0.19
93,EF_GR,2,0.5,accuracy,0.34
392,EF_GR,2,0.5,f1_score,0.48
691,EF_GR,2,0.5,precision_recall_auc,0.7
254,EF_GR,3,0.5,accuracy,0.7
553,EF_GR,3,0.5,f1_score,0.82
852,EF_GR,3,0.5,precision_recall_auc,0.89
172,EF_GR,4,0.5,accuracy,0.8
471,EF_GR,4,0.5,f1_score,0.89
770,EF_GR,4,0.5,precision_recall_auc,0.91
255,EF_GR,3,0.7,accuracy,0.24
554,EF_GR,3,0.7,f1_score,0.22
853,EF_GR,3,0.7,precision_recall_auc,0.83
173,EF_GR,4,0.7,accuracy,0.33
472,EF_GR,4,0.7,f1_score,0.49
771,EF_GR,4,0.7,precision_recall_auc,0.79
20,FO_NO,1,0.3,accuracy,0.78
319,FO_NO,1,0.3,f1_score,0.0
618,FO_NO,1,0.3,precision_recall_auc,0.24
84,FO_NO,2,0.3,accuracy,0.28
383,FO_NO,2,0.3,f1_score,0.43
682,FO_NO,2,0.3,precision_recall_auc,0.58
243,FO_NO,3,0.3,accuracy,0.52
542,FO_NO,3,0.3,f1_score,0.68
841,FO_NO,3,0.3,precision_recall_auc,0.75
244,FO_NO,3,0.5,accuracy,0.17
543,FO_NO,3,0.5,f1_score,0.29
842,FO_NO,3,0.5,precision_recall_auc,0.5
160,FO_NO,4,0.5,accuracy,0.82
459,FO_NO,4,0.5,f1_score,0.9
758,FO_NO,4,0.5,precision_recall_auc,0.95
31,FP_BD,1,0.3,accuracy,0.72
330,FP_BD,1,0.3,f1_score,0.16
629,FP_BD,1,0.3,precision_recall_auc,0.28
99,FP_BD,2,0.3,accuracy,0.33
398,FP_BD,2,0.3,f1_score,0.49
697,FP_BD,2,0.3,precision_recall_auc,0.61
262,FP_BD,3,0.3,accuracy,0.58
561,FP_BD,3,0.3,f1_score,0.74
860,FP_BD,3,0.3,precision_recall_auc,0.81
180,FP_BD,4,0.3,accuracy,0.72
479,FP_BD,4,0.3,f1_score,0.84
778,FP_BD,4,0.3,precision_recall_auc,0.87
100,FP_BD,2,0.5,accuracy,0.48
399,FP_BD,2,0.5,f1_score,0.0
698,FP_BD,2,0.5,precision_recall_auc,0.26
263,FP_BD,3,0.5,accuracy,0.29
562,FP_BD,3,0.5,f1_score,0.23
861,FP_BD,3,0.5,precision_recall_auc,0.64
181,FP_BD,4,0.5,accuracy,0.44
480,FP_BD,4,0.5,f1_score,0.61
779,FP_BD,4,0.5,precision_recall_auc,0.79
19,FP_HK,1,0.3,accuracy,0.37
318,FP_HK,1,0.3,f1_score,0.45
617,FP_HK,1,0.3,precision_recall_auc,0.61
82,FP_HK,2,0.3,accuracy,0.57
381,FP_HK,2,0.3,f1_score,0.72
680,FP_HK,2,0.3,precision_recall_auc,0.78
157,FP_HK,4,0.3,accuracy,0.42
456,FP_HK,4,0.3,f1_score,0.59
755,FP_HK,4,0.3,precision_recall_auc,0.7
83,FP_HK,2,0.5,accuracy,0.35
382,FP_HK,2,0.5,f1_score,0.4
681,FP_HK,2,0.5,precision_recall_auc,0.59
241,FP_HK,3,0.5,accuracy,0.5
540,FP_HK,3,0.5,f1_score,0.67
839,FP_HK,3,0.5,precision_recall_auc,0.75
158,FP_HK,4,0.5,accuracy,0.38
457,FP_HK,4,0.5,f1_score,0.55
756,FP_HK,4,0.5,precision_recall_auc,0.66
242,FP_HK,3,0.7,accuracy,0.33
541,FP_HK,3,0.7,f1_score,0.0
840,FP_HK,3,0.7,precision_recall_auc,0.32
159,FP_HK,4,0.7,accuracy,0.29
458,FP_HK,4,0.7,f1_score,0.2
757,FP_HK,4,0.7,precision_recall_auc,0.38
13,FP_KH,1,0.3,accuracy,0.68
312,FP_KH,1,0.3,f1_score,0.1
611,FP_KH,1,0.3,precision_recall_auc,0.33
73,FP_KH,2,0.3,accuracy,0.39
372,FP_KH,2,0.3,f1_score,0.55
671,FP_KH,2,0.3,precision_recall_auc,0.68
232,FP_KH,3,0.3,accuracy,0.56
531,FP_KH,3,0.3,f1_score,0.72
830,FP_KH,3,0.3,precision_recall_auc,0.79
149,FP_KH,4,0.3,accuracy,0.67
448,FP_KH,4,0.3,f1_score,0.81
747,FP_KH,4,0.3,precision_recall_auc,0.85
14,FP_KH,1,0.5,accuracy,0.7
313,FP_KH,1,0.5,f1_score,0.0
612,FP_KH,1,0.5,precision_recall_auc,0.15
74,FP_KH,2,0.5,accuracy,0.43
373,FP_KH,2,0.5,f1_score,0.31
672,FP_KH,2,0.5,precision_recall_auc,0.69
233,FP_KH,3,0.5,accuracy,0.45
532,FP_KH,3,0.5,f1_score,0.58
831,FP_KH,3,0.5,precision_recall_auc,0.72
150,FP_KH,4,0.5,accuracy,0.52
449,FP_KH,4,0.5,f1_score,0.69
748,FP_KH,4,0.5,precision_recall_auc,0.79
15,FP_KH,1,0.7,accuracy,0.7
314,FP_KH,1,0.7,f1_score,0.0
613,FP_KH,1,0.7,precision_recall_auc,0.15
151,FP_KH,4,0.7,accuracy,0.26
450,FP_KH,4,0.7,f1_score,0.06
749,FP_KH,4,0.7,precision_recall_auc,0.62
47,FP_LA,1,0.3,accuracy,0.49
346,FP_LA,1,0.3,f1_score,0.57
645,FP_LA,1,0.3,precision_recall_auc,0.67
124,FP_LA,2,0.3,accuracy,0.62
423,FP_LA,2,0.3,f1_score,0.77
722,FP_LA,2,0.3,precision_recall_auc,0.81
292,FP_LA,3,0.3,accuracy,0.7
591,FP_LA,3,0.3,f1_score,0.82
890,FP_LA,3,0.3,precision_recall_auc,0.86
125,FP_LA,2,0.5,accuracy,0.38
424,FP_LA,2,0.5,f1_score,0.45
723,FP_LA,2,0.5,precision_recall_auc,0.66
293,FP_LA,3,0.5,accuracy,0.55
592,FP_LA,3,0.5,f1_score,0.71
891,FP_LA,3,0.5,precision_recall_auc,0.81
205,FP_LA,4,0.5,accuracy,0.73
504,FP_LA,4,0.5,f1_score,0.84
803,FP_LA,4,0.5,precision_recall_auc,0.89
206,FP_LA,4,0.7,accuracy,0.08
505,FP_LA,4,0.7,f1_score,0.08
804,FP_LA,4,0.7,precision_recall_auc,0.51
29,FP_MM,1,0.3,accuracy,0.54
328,FP_MM,1,0.3,f1_score,0.49
627,FP_MM,1,0.3,precision_recall_auc,0.58
95,FP_MM,2,0.3,accuracy,0.54
394,FP_MM,2,0.3,f1_score,0.7
693,FP_MM,2,0.3,precision_recall_auc,0.77
258,FP_MM,3,0.3,accuracy,0.72
557,FP_MM,3,0.3,f1_score,0.84
856,FP_MM,3,0.3,precision_recall_auc,0.87
176,FP_MM,4,0.3,accuracy,0.83
475,FP_MM,4,0.3,f1_score,0.91
774,FP_MM,4,0.3,precision_recall_auc,0.93
96,FP_MM,2,0.5,accuracy,0.46
395,FP_MM,2,0.5,f1_score,0.4
694,FP_MM,2,0.5,precision_recall_auc,0.64
259,FP_MM,3,0.5,accuracy,0.5
558,FP_MM,3,0.5,f1_score,0.66
857,FP_MM,3,0.5,precision_recall_auc,0.8
177,FP_MM,4,0.5,accuracy,0.76
476,FP_MM,4,0.5,f1_score,0.87
775,FP_MM,4,0.5,precision_recall_auc,0.92
178,FP_MM,4,0.7,accuracy,0.2
477,FP_MM,4,0.7,f1_score,0.18
776,FP_MM,4,0.7,precision_recall_auc,0.86
75,FP_MY,2,0.5,accuracy,0.39
374,FP_MY,2,0.5,f1_score,0.47
673,FP_MY,2,0.5,precision_recall_auc,0.65
234,FP_MY,3,0.5,accuracy,0.61
533,FP_MY,3,0.5,f1_score,0.76
832,FP_MY,3,0.5,precision_recall_auc,0.84
152,FP_MY,4,0.5,accuracy,0.74
451,FP_MY,4,0.5,f1_score,0.85
750,FP_MY,4,0.5,precision_recall_auc,0.88
23,FP_PH,1,0.3,accuracy,0.41
322,FP_PH,1,0.3,f1_score,0.42
